time,gFx,gFy,gFz,TgF
0.005000,0.1031,0.0679,0.9548,0.963
0.005000,0.0884,0.0630,0.9658,0.972
0.005000,0.0682,0.0652,0.9743,0.979
0.005000,0.0613,0.0665,0.9782,0.982
0.005000,0.0557,0.0669,0.9826,0.986
0.005000,0.0559,0.0674,0.9875,0.991
0.005000,0.0555,0.0691,0.9919,0.996
0.008000,0.0518,0.0723,1.0014,1.005
0.009000,0.0501,0.0723,1.0124,1.016
0.011000,0.0489,0.0735,1.0188,1.023
0.013000,0.0486,0.0748,1.0295,1.033
0.015000,0.0518,0.0735,1.0393,1.043
0.017000,0.0562,0.0726,1.0435,1.047
0.019000,0.0667,0.0726,1.0491,1.054
0.022000,0.0774,0.0706,1.0579,1.063
0.029000,0.0833,0.0699,1.0606,1.066
0.029000,0.0921,0.0679,1.0662,1.072
0.029000,0.0955,0.0660,1.0664,1.073
0.029000,0.0980,0.0640,1.0655,1.072
0.031000,0.1016,0.0586,1.0613,1.068
0.034000,0.1036,0.0540,1.0532,1.060
0.035000,0.1051,0.0511,1.0479,1.054
0.037000,0.1055,0.0476,1.0388,1.045
0.039000,0.1029,0.0467,1.0349,1.041
0.044000,0.1031,0.0442,1.0254,1.032
0.045000,0.1055,0.0420,1.0090,1.015
0.046000,0.1075,0.0420,1.0051,1.012
0.047000,0.1097,0.0393,0.9997,1.007
0.049000,0.1109,0.0391,0.9890,0.996
0.051000,0.1126,0.0406,0.9882,0.995
0.053000,0.1136,0.0447,0.9941,1.002
0.056000,0.1073,0.0472,0.9880,0.995
0.057000,0.0982,0.0454,0.9709,0.977
0.059000,0.0960,0.0464,0.9628,0.969
0.061000,0.0972,0.0496,0.9538,0.960
0.063000,0.1009,0.0552,0.9448,0.952
0.065000,0.1043,0.0559,0.9423,0.950
0.067000,0.1121,0.0555,0.9382,0.946
0.069000,0.1160,0.0555,0.9372,0.946
0.071000,0.1270,0.0569,0.9350,0.945
0.076000,0.1371,0.0555,0.9313,0.943
0.077000,0.1419,0.0545,0.9311,0.943
0.077000,0.1476,0.0562,0.9311,0.944
0.079000,0.1510,0.0574,0.9340,0.948
0.081000,0.1520,0.0581,0.9379,0.952
0.083000,0.1525,0.0591,0.9448,0.959
0.085000,0.1525,0.0603,0.9482,0.962
0.087000,0.1517,0.0596,0.9504,0.964
0.089000,0.1542,0.0586,0.9528,0.967
0.091000,0.1520,0.0550,0.9572,0.971
0.093000,0.1456,0.0523,0.9616,0.974
0.095000,0.1441,0.0516,0.9619,0.974
0.097000,0.1446,0.0503,0.9643,0.976
0.099000,0.1459,0.0498,0.9648,0.977
0.101000,0.1495,0.0489,0.9665,0.979
0.104000,0.1578,0.0459,0.9702,0.984
0.106000,0.1578,0.0459,0.9702,0.984
0.107000,0.1625,0.0413,0.9675,0.982
0.109000,0.1625,0.0337,0.9631,0.977
0.111000,0.1630,0.0301,0.9611,0.975
0.113000,0.1608,0.0230,0.9592,0.973
0.117000,0.1586,0.0149,0.9611,0.974
0.118000,0.1588,0.0115,0.9641,0.977
0.119000,0.1595,0.0042,0.9719,0.985
0.121000,0.1627,-0.0037,0.9826,0.996
0.123000,0.1669,-0.0059,0.9968,1.011
0.125000,0.1693,-0.0129,1.0036,1.018
0.127000,0.1757,-0.0181,1.0212,1.036
0.129000,0.1796,-0.0195,1.0278,1.044
0.131000,0.1898,-0.0195,1.0383,1.056
0.133000,0.1981,-0.0205,1.0459,1.065
0.135000,0.2003,-0.0205,1.0449,1.064
0.137000,0.1996,-0.0205,1.0408,1.060
0.140000,0.1945,-0.0193,1.0327,1.051
0.142000,0.1871,-0.0186,1.0256,1.043
0.144000,0.1827,-0.0195,1.0217,1.038
0.145000,0.1759,-0.0203,1.0141,1.029
0.147000,0.1727,-0.0205,1.0117,1.027
0.149000,0.1666,-0.0230,1.0075,1.021
0.152000,0.1644,-0.0261,1.0080,1.022
0.153000,0.1634,-0.0274,1.0080,1.022
0.156000,0.1632,-0.0288,1.0078,1.021
0.158000,0.1669,-0.0310,1.0068,1.021
0.160000,0.1688,-0.0322,1.0066,1.021
0.162000,0.1737,-0.0318,1.0027,1.018
0.165000,0.1783,-0.0335,0.9907,1.007
0.165000,0.1783,-0.0335,0.9907,1.007
0.167000,0.1857,-0.0322,0.9804,0.998
0.169000,0.1918,-0.0293,0.9689,0.988
0.172000,0.1945,-0.0279,0.9643,0.984
0.174000,0.1998,-0.0237,0.9570,0.978
0.177000,0.2133,-0.0049,0.9545,0.978
0.178000,0.2206,0.0032,0.9531,0.978
0.179000,0.2475,0.0083,0.9545,0.986
0.181000,0.2626,0.0125,0.9675,1.003
0.183000,0.2707,0.0242,0.9782,1.015
0.185000,0.2873,0.0523,1.0000,1.042
0.187000,0.2944,0.0562,1.0156,1.059
0.190000,0.2946,0.0577,1.0217,1.065
0.192000,0.2854,0.0630,1.0332,1.074
0.194000,0.2709,0.0679,1.0508,1.087
0.195000,0.2624,0.0718,1.0593,1.094
0.197000,0.2380,0.0816,1.0772,1.106
0.200000,0.2135,0.0892,1.0962,1.120
0.202000,0.2028,0.0916,1.1050,1.127
0.203000,0.1908,0.0899,1.1221,1.142
0.206000,0.1864,0.0806,1.1397,1.158
0.208000,0.1859,0.0740,1.1478,1.165
0.210000,0.1959,0.0567,1.1624,1.180
0.212000,0.2135,0.0342,1.1754,1.195
0.214000,0.2235,0.0142,1.1835,1.204
0.215000,0.2289,0.0042,1.1866,1.209
0.217000,0.2465,-0.0142,1.1888,1.214
0.219000,0.2565,-0.0230,1.1910,1.219
0.222000,0.2834,-0.0376,1.1905,1.224
0.225000,0.3210,-0.0513,1.1847,1.228
0.226000,0.3210,-0.0513,1.1847,1.228
0.228000,0.3477,-0.0547,1.1671,1.219
0.230000,0.3826,-0.0540,1.1436,1.207
0.232000,0.3960,-0.0530,1.1280,1.197
0.234000,0.4104,-0.0481,1.0953,1.171
0.235000,0.4134,-0.0364,1.0552,1.134
0.238000,0.4131,-0.0305,1.0342,1.114
0.240000,0.4039,-0.0191,0.9970,1.076
0.242000,0.3870,-0.0064,0.9628,1.038
0.244000,0.3650,0.0049,0.9382,1.007
0.246000,0.3528,0.0105,0.9289,0.994
0.247000,0.3227,0.0266,0.9176,0.973
0.249000,0.3056,0.0335,0.9140,0.964
0.252000,0.2780,0.0472,0.9154,0.958
0.254000,0.2453,0.0625,0.9162,0.951
0.256000,0.2294,0.0691,0.9164,0.947
0.258000,0.2047,0.0814,0.9242,0.950
0.260000,0.1854,0.0931,0.9272,0.950
0.262000,0.1722,0.0997,0.9137,0.935
0.264000,0.1322,0.1224,0.8324,0.852
0.266000,0.0696,0.1512,0.7249,0.744
0.268000,-0.0083,0.1659,0.6765,0.697
0.270000,-0.0442,0.1911,0.6118,0.642
0.272000,-0.0972,0.2030,0.5976,0.639
0.275000,-0.1099,0.2016,0.6110,0.653
0.276000,-0.1168,0.1896,0.6653,0.702
0.278000,-0.0999,0.1656,0.7364,0.761
0.280000,-0.0801,0.1488,0.7772,0.795
0.282000,-0.0349,0.1075,0.8668,0.874
0.285000,0.0352,0.0396,1.0046,1.006
0.286000,0.0352,0.0396,1.0046,1.006
0.287000,0.0552,-0.0022,1.1075,1.109
0.290000,0.0801,-0.0369,1.1852,1.188
0.292000,0.1090,-0.0520,1.2020,1.208
0.294000,0.1864,-0.0784,1.1969,1.214
0.295000,0.2558,-0.1046,1.1732,1.205
0.297000,0.2756,-0.1146,1.1642,1.202
0.299000,0.2829,-0.1305,1.1627,1.204
0.302000,0.2612,-0.1407,1.1676,1.205
0.304000,0.2477,-0.1419,1.1588,1.193
0.306000,0.2272,-0.1444,1.1251,1.157
0.308000,0.2155,-0.1429,1.0723,1.103
0.310000,0.2062,-0.1419,1.0474,1.077
0.312000,0.1813,-0.1351,1.0156,1.040
0.314000,0.1556,-0.1295,1.0002,1.021
0.315000,0.1417,-0.1268,0.9980,1.016
0.318000,0.1236,-0.1253,1.0046,1.020
0.320000,0.1214,-0.1226,1.0146,1.029
0.322000,0.1258,-0.1222,1.0159,1.031
0.324000,0.1346,-0.1168,1.0085,1.024
0.326000,0.1439,-0.1126,1.0088,1.025
0.328000,0.1478,-0.1104,1.0097,1.026
0.329000,0.1571,-0.1097,1.0139,1.032
0.332000,0.1693,-0.1060,1.0210,1.040
0.334000,0.1742,-0.1041,1.0212,1.041
0.335000,0.1798,-0.0980,1.0168,1.037
0.338000,0.1727,-0.0880,1.0117,1.030
0.340000,0.1698,-0.0831,1.0058,1.023
0.342000,0.1688,-0.0711,1.0019,1.019
0.345000,0.1688,-0.0652,1.0173,1.033
0.346000,0.1688,-0.0665,1.0303,1.046
0.348000,0.1864,-0.0733,1.0593,1.078
0.350000,0.2094,-0.0848,1.0808,1.104
0.352000,0.2204,-0.0902,1.0865,1.112
0.354000,0.2428,-0.1004,1.0848,1.116
0.356000,0.2683,-0.1073,1.0720,1.110
0.358000,0.2802,-0.1095,1.0655,1.107
0.360000,0.2959,-0.1146,1.0466,1.094
0.362000,0.3015,-0.1136,1.0185,1.068
0.364000,0.3022,-0.1068,1.0066,1.056
0.366000,0.2988,-0.0833,0.9912,1.039
0.367000,0.3044,-0.0836,0.9843,1.034
