time,gFx,gFy,gFz,TgF
0.003000,-0.7681,-0.4447,0.4520,0.996
0.003000,-0.7713,-0.4356,0.4654,1.001
0.003000,-0.7725,-0.4293,0.4776,1.005
0.004000,-0.7730,-0.4254,0.4825,1.006
0.004000,-0.7720,-0.4185,0.4908,1.006
0.004000,-0.7676,-0.4148,0.4928,1.002
0.005000,-0.7657,-0.4136,0.4913,0.999
0.005000,-0.7610,-0.4136,0.4918,0.996
0.005000,-0.7579,-0.4117,0.4918,0.993
0.010000,-0.7547,-0.4104,0.4916,0.990
0.010000,-0.7515,-0.4126,0.4918,0.988
0.011000,-0.7508,-0.4161,0.4906,0.989
0.018000,-0.7520,-0.4190,0.4884,0.990
0.019000,-0.7520,-0.4236,0.4830,0.989
0.020000,-0.7532,-0.4334,0.4737,0.990
0.021000,-0.7532,-0.4334,0.4737,0.990
0.021000,-0.7571,-0.4403,0.4688,0.993
0.023000,-0.7623,-0.4449,0.4627,0.997
0.025000,-0.7645,-0.4478,0.4598,0.998
0.027000,-0.7703,-0.4517,0.4527,1.001
0.029000,-0.7752,-0.4561,0.4493,1.005
0.032000,-0.7779,-0.4581,0.4464,1.007
0.034000,-0.7838,-0.4605,0.4420,1.011
0.035000,-0.7894,-0.4613,0.4381,1.014
0.037000,-0.7911,-0.4615,0.4359,1.014
0.040000,-0.7923,-0.4603,0.4349,1.014
0.041000,-0.7933,-0.4605,0.4341,1.015
0.043000,-0.7928,-0.4591,0.4351,1.014
0.045000,-0.7918,-0.4566,0.4371,1.013
0.053000,-0.7935,-0.4547,0.4417,1.016
0.053000,-0.7938,-0.4525,0.4429,1.015
0.053000,-0.7945,-0.4461,0.4473,1.015
0.054000,-0.7987,-0.4403,0.4510,1.017
0.055000,-0.8004,-0.4378,0.4530,1.019
0.057000,-0.8035,-0.4317,0.4561,1.020
0.059000,-0.8079,-0.4261,0.4583,1.022
0.061000,-0.8087,-0.4241,0.4591,1.022
0.064000,-0.8070,-0.4224,0.4583,1.020
0.065000,-0.8050,-0.4244,0.4576,1.019
0.067000,-0.8028,-0.4249,0.4554,1.016
0.069000,-0.7994,-0.4261,0.4552,1.014
0.071000,-0.7950,-0.4273,0.4525,1.010
0.073000,-0.7940,-0.4288,0.4495,1.008
0.075000,-0.7935,-0.4285,0.4447,1.006
0.078000,-0.7938,-0.4285,0.4454,1.006
0.079000,-0.7926,-0.4285,0.4439,1.004
0.081000,-0.7906,-0.4290,0.4437,1.003
0.084000,-0.7926,-0.4275,0.4447,1.004
0.085000,-0.7921,-0.4280,0.4454,1.004
0.087000,-0.7882,-0.4283,0.4454,1.001
0.089000,-0.7864,-0.4283,0.4454,1.000
0.091000,-0.7867,-0.4278,0.4466,1.001
0.093000,-0.7852,-0.4275,0.4490,1.001
0.095000,-0.7855,-0.4307,0.4520,1.003
0.097000,-0.7852,-0.4312,0.4530,1.004
0.101000,-0.7811,-0.4319,0.4544,1.002
0.103000,-0.7774,-0.4337,0.4552,1.000
0.103000,-0.7762,-0.4341,0.4571,1.000
0.105000,-0.7742,-0.4366,0.4618,1.002
0.107000,-0.7715,-0.4400,0.4627,1.002
0.109000,-0.7706,-0.4410,0.4640,1.002
0.111000,-0.7708,-0.4439,0.4632,1.003
0.114000,-0.7696,-0.4468,0.4613,1.002
0.115000,-0.7708,-0.4554,0.4598,1.006
0.117000,-0.7715,-0.4610,0.4561,1.008
0.119000,-0.7745,-0.4652,0.4525,1.010
0.121000,-0.7764,-0.4652,0.4493,1.010
0.123000,-0.7772,-0.4659,0.4437,1.009
0.125000,-0.7825,-0.4642,0.4410,1.011
0.127000,-0.7847,-0.4635,0.4400,1.012
0.129000,-0.7874,-0.4618,0.4363,1.012
0.131000,-0.7891,-0.4593,0.4324,1.010
0.137000,-0.7901,-0.4581,0.4324,1.011
0.138000,-0.7938,-0.4527,0.4310,1.010
0.138000,-0.7974,-0.4503,0.4312,1.012
0.139000,-0.7987,-0.4498,0.4319,1.013
0.141000,-0.8013,-0.4493,0.4354,1.017
0.143000,-0.8050,-0.4483,0.4378,1.020
0.145000,-0.8055,-0.4454,0.4388,1.020
0.148000,-0.8067,-0.4447,0.4407,1.021
0.149000,-0.8065,-0.4427,0.4449,1.022
0.151000,-0.8053,-0.4417,0.4466,1.021
0.154000,-0.8011,-0.4422,0.4476,1.019
0.156000,-0.7952,-0.4434,0.4517,1.016
0.159000,-0.7930,-0.4444,0.4542,1.016
0.159000,-0.7886,-0.4459,0.4576,1.015
0.161000,-0.7823,-0.4442,0.4591,1.010
0.163000,-0.7781,-0.4332,0.4613,1.003
0.166000,-0.7720,-0.4188,0.4635,0.993
0.168000,-0.7681,-0.4180,0.4644,0.990
0.170000,-0.7669,-0.4185,0.4632,0.989
0.171000,-0.7620,-0.4148,0.4622,0.983
0.173000,-0.7620,-0.4124,0.4644,0.983
0.175000,-0.7627,-0.4112,0.4642,0.983
0.177000,-0.7657,-0.4097,0.4679,0.986
0.179000,-0.7669,-0.4092,0.4708,0.989
0.181000,-0.7720,-0.4107,0.4754,0.995
0.183000,-0.7752,-0.4119,0.4781,1.000
0.185000,-0.7784,-0.4124,0.4789,1.003
0.187000,-0.7796,-0.4161,0.4789,1.005
0.189000,-0.7847,-0.4207,0.4793,1.011
0.191000,-0.7869,-0.4219,0.4786,1.013
0.193000,-0.7891,-0.4254,0.4789,1.016
0.195000,-0.7935,-0.4283,0.4781,1.021
0.198000,-0.7940,-0.4322,0.4793,1.023
0.200000,-0.7938,-0.4341,0.4776,1.023
0.203000,-0.7960,-0.4363,0.4730,1.024
0.204000,-0.7982,-0.4393,0.4718,1.026
0.205000,-0.8016,-0.4449,0.4666,1.029
0.207000,-0.8050,-0.4468,0.4610,1.030
0.209000,-0.8092,-0.4481,0.4527,1.030
0.211000,-0.8089,-0.4488,0.4490,1.028
0.214000,-0.8062,-0.4498,0.4442,1.024
0.217000,-0.8028,-0.4520,0.4393,1.021
0.221000,-0.8013,-0.4534,0.4383,1.020
0.222000,-0.7970,-0.4539,0.4344,1.015
0.223000,-0.7945,-0.4544,0.4334,1.013
0.223000,-0.7921,-0.4561,0.4297,1.010
0.225000,-0.7918,-0.4552,0.4295,1.009
0.227000,-0.7916,-0.4522,0.4297,1.008
0.229000,-0.7913,-0.4517,0.4297,1.007
0.232000,-0.7926,-0.4486,0.4319,1.008
0.233000,-0.7911,-0.4483,0.4346,1.008
0.235000,-0.7869,-0.4486,0.4371,1.006
0.237000,-0.7820,-0.4493,0.4398,1.003
0.239000,-0.7791,-0.4500,0.4415,1.002
0.241000,-0.7735,-0.4498,0.4451,0.999
0.243000,-0.7713,-0.4505,0.4495,1.000
0.245000,-0.7703,-0.4510,0.4512,1.000
0.250000,-0.7681,-0.4512,0.4547,1.000
0.250000,-0.7708,-0.4515,0.4564,1.003
0.252000,-0.7728,-0.4512,0.4591,1.006
0.254000,-0.7779,-0.4495,0.4630,1.011
0.256000,-0.7806,-0.4515,0.4659,1.015
0.262000,-0.7828,-0.4493,0.4657,1.016
0.263000,-0.7828,-0.4473,0.4649,1.014
0.264000,-0.7825,-0.4434,0.4630,1.012
0.264000,-0.7847,-0.4390,0.4642,1.012
0.267000,-0.7855,-0.4376,0.4652,1.012
0.267000,-0.7852,-0.4359,0.4664,1.012
0.270000,-0.7838,-0.4332,0.4654,1.009
0.272000,-0.7833,-0.4246,0.4652,1.005
0.274000,-0.7852,-0.4168,0.4664,1.004
0.276000,-0.7835,-0.4109,0.4654,1.000
0.277000,-0.7769,-0.4012,0.4630,0.989
0.279000,-0.7740,-0.4031,0.4596,0.986
0.285000,-0.7715,-0.3982,0.4588,0.982
0.286000,-0.7715,-0.3977,0.4581,0.981
0.287000,-0.7728,-0.4026,0.4559,0.983
0.288000,-0.7745,-0.4046,0.4542,0.985
0.289000,-0.7784,-0.4039,0.4532,0.987
0.291000,-0.7828,-0.4026,0.4554,0.991
0.293000,-0.7840,-0.4036,0.4547,0.992
0.295000,-0.7830,-0.4034,0.4547,0.991
0.297000,-0.7796,-0.4012,0.4566,0.989
0.299000,-0.7798,-0.4002,0.4569,0.988
0.301000,-0.7794,-0.3992,0.4574,0.988
0.303000,-0.7759,-0.3987,0.4544,0.984
0.305000,-0.7735,-0.3985,0.4522,0.981
0.307000,-0.7711,-0.3997,0.4510,0.979
0.309000,-0.7681,-0.4024,0.4466,0.975
0.311000,-0.7681,-0.4031,0.4451,0.975
0.314000,-0.7686,-0.4080,0.4425,0.976
0.316000,-0.7691,-0.4119,0.4434,0.979
0.319000,-0.7715,-0.4144,0.4442,0.982
0.319000,-0.7723,-0.4146,0.4427,0.982
0.321000,-0.7745,-0.4163,0.4417,0.984
0.323000,-0.7762,-0.4178,0.4405,0.985
0.325000,-0.7789,-0.4234,0.4415,0.990
0.327000,-0.7798,-0.4290,0.4420,0.994
0.329000,-0.7779,-0.4310,0.4420,0.993
0.331000,-0.7747,-0.4351,0.4451,0.994
0.334000,-0.7757,-0.4400,0.4459,0.997
0.336000,-0.7750,-0.4427,0.4466,0.998
0.338000,-0.7711,-0.4493,0.4483,0.999
0.339000,-0.7686,-0.4542,0.4500,1.000
0.341000,-0.7667,-0.4608,0.4522,1.002
0.343000,-0.7649,-0.4627,0.4537,1.003
0.345000,-0.7613,-0.4632,0.4569,1.001
0.349000,-0.7603,-0.4647,0.4600,1.003
0.349000,-0.7591,-0.4679,0.4618,1.004
0.352000,-0.7583,-0.4688,0.4618,1.004
0.354000,-0.7583,-0.4686,0.4615,1.004
0.355000,-0.7605,-0.4657,0.4622,1.004
0.359000,-0.7615,-0.4581,0.4596,1.000
0.360000,-0.7623,-0.4500,0.4586,0.997
0.361000,-0.7620,-0.4444,0.4569,0.993
0.364000,-0.7618,-0.4361,0.4500,0.986
0.366000,-0.7642,-0.4295,0.4417,0.982
0.367000,-0.7662,-0.4258,0.4398,0.981
0.370000,-0.7674,-0.4185,0.4390,0.978
0.371000,-0.7684,-0.4141,0.4385,0.977
0.373000,-0.7701,-0.4048,0.4381,0.974
0.375000,-0.7715,-0.3992,0.4378,0.973
0.378000,-0.7715,-0.3936,0.4395,0.971
0.379000,-0.7711,-0.3899,0.4403,0.970
0.382000,-0.7662,-0.3855,0.4405,0.964
0.384000,-0.7588,-0.3809,0.4393,0.956
0.386000,-0.7532,-0.3674,0.4341,0.944
0.387000,-0.7620,-0.3672,0.4376,0.952
0.389000,-0.7681,-0.3699,0.4405,0.960
0.391000,-0.7762,-0.3780,0.4478,0.973
0.393000,-0.7801,-0.3816,0.4576,0.982
0.395000,-0.7811,-0.3836,0.4622,0.985
0.398000,-0.7852,-0.3897,0.4708,0.995
0.401000,-0.7913,-0.3963,0.4781,1.006
0.402000,-0.7943,-0.3987,0.4862,1.013
0.403000,-0.7955,-0.4087,0.4889,1.019
0.406000,-0.7992,-0.4210,0.4903,1.028
0.407000,-0.8001,-0.4337,0.4874,1.032
0.409000,-0.8001,-0.4395,0.4867,1.035
0.411000,-0.8026,-0.4520,0.4823,1.040
0.414000,-0.8031,-0.4578,0.4789,1.041
0.415000,-0.8035,-0.4698,0.4732,1.044
0.421000,-0.8026,-0.4789,0.4659,1.044
0.422000,-0.8016,-0.4818,0.4610,1.043
0.423000,-0.7989,-0.4837,0.4517,1.037
0.423000,-0.7957,-0.4833,0.4427,1.031
0.425000,-0.7935,-0.4833,0.4381,1.027
0.427000,-0.7906,-0.4823,0.4312,1.022
0.429000,-0.7842,-0.4762,0.4256,1.011
0.431000,-0.7816,-0.4735,0.4219,1.007
0.434000,-0.7784,-0.4703,0.4166,1.000
0.435000,-0.7784,-0.4662,0.4112,0.996
0.438000,-0.7779,-0.4642,0.4073,0.993
0.439000,-0.7764,-0.4630,0.4063,0.991
0.441000,-0.7745,-0.4596,0.4070,0.988
0.443000,-0.7735,-0.4586,0.4080,0.987
0.445000,-0.7698,-0.4534,0.4104,0.983
0.449000,-0.7654,-0.4461,0.4134,0.978
0.450000,-0.7640,-0.4444,0.4156,0.977
0.456000,-0.7627,-0.4407,0.4219,0.977
0.456000,-0.7605,-0.4356,0.4305,0.976
0.457000,-0.7591,-0.4344,0.4346,0.977
0.458000,-0.7576,-0.4344,0.4405,0.978
0.459000,-0.7566,-0.4337,0.4444,0.979
0.461000,-0.7583,-0.4329,0.4473,0.981
0.464000,-0.7564,-0.4307,0.4500,0.980
0.466000,-0.7554,-0.4300,0.4542,0.981
0.468000,-0.7557,-0.4295,0.4561,0.982
0.469000,-0.7554,-0.4275,0.4581,0.981
0.471000,-0.7542,-0.4244,0.4608,0.980
0.474000,-0.7508,-0.4222,0.4622,0.978
0.476000,-0.7447,-0.4183,0.4635,0.972
0.477000,-0.7422,-0.4148,0.4657,0.969
0.481000,-0.7422,-0.4139,0.4664,0.969
0.488000,-0.7422,-0.4151,0.4662,0.970
0.488000,-0.7430,-0.4122,0.4708,0.971
0.489000,-0.7432,-0.4107,0.4715,0.971
0.489000,-0.7442,-0.4117,0.4708,0.972
0.491000,-0.7454,-0.4146,0.4725,0.975
0.491000,-0.7452,-0.4170,0.4740,0.977
0.494000,-0.7430,-0.4212,0.4737,0.977
0.495000,-0.7422,-0.4219,0.4691,0.974
0.499000,-0.7412,-0.4227,0.4635,0.971
0.500000,-0.7393,-0.4236,0.4625,0.969
0.505000,-0.7322,-0.4202,0.4586,0.961
0.506000,-0.7290,-0.4175,0.4559,0.956
0.506000,-0.7268,-0.4161,0.4527,0.952
0.508000,-0.7249,-0.4185,0.4481,0.949
0.510000,-0.7246,-0.4210,0.4461,0.949
0.511000,-0.7205,-0.4293,0.4422,0.948
0.526000,-0.7161,-0.4405,0.4376,0.948
0.527000,-0.7139,-0.4471,0.4346,0.948
0.527000,-0.7100,-0.4603,0.4280,0.948
0.528000,-0.7090,-0.4732,0.4214,0.951
0.528000,-0.7070,-0.4806,0.4178,0.952
0.528000,-0.7097,-0.4930,0.4097,0.956
0.529000,-0.7083,-0.5065,0.4029,0.959
0.529000,-0.7083,-0.5133,0.3997,0.962
0.532000,-0.7092,-0.5289,0.3951,0.969
0.533000,-0.7088,-0.5399,0.3885,0.972
0.534000,-0.7105,-0.5446,0.3865,0.975
0.536000,-0.7132,-0.5514,0.3838,0.980
0.539000,-0.7095,-0.5524,0.3838,0.978
0.545000,-0.7095,-0.5526,0.3860,0.979
0.548000,-0.7110,-0.5507,0.3919,0.981
0.550000,-0.7149,-0.5463,0.3987,0.984
0.552000,-0.7175,-0.5429,0.4017,0.985
0.553000,-0.7200,-0.5338,0.4075,0.985
0.554000,-0.7190,-0.5245,0.4124,0.981
0.555000,-0.7195,-0.5214,0.4156,0.981
0.557000,-0.7239,-0.5172,0.4234,0.985
0.558000,-0.7288,-0.5118,0.4285,0.988
0.559000,-0.7364,-0.5113,0.4361,0.997
0.560000,-0.7408,-0.5111,0.4383,1.001
0.563000,-0.7466,-0.5091,0.4425,1.006
0.566000,-0.7493,-0.5065,0.4432,1.007
0.567000,-0.7542,-0.4996,0.4449,1.008
0.569000,-0.7605,-0.4918,0.4466,1.010
0.570000,-0.7654,-0.4881,0.4488,1.013
0.572000,-0.7752,-0.4808,0.4510,1.018
0.574000,-0.7835,-0.4757,0.4559,1.024
0.577000,-0.7872,-0.4727,0.4559,1.025
0.579000,-0.7923,-0.4666,0.4539,1.025
0.581000,-0.7965,-0.4605,0.4520,1.025
