time,gFx,gFy,gFz,TgF
0.003000,-0.7813,-0.5739,0.2406,0.999
0.004000,-0.7772,-0.5700,0.2499,0.996
0.004000,-0.7733,-0.5624,0.2592,0.991
0.004000,-0.7715,-0.5590,0.2651,0.989
0.005000,-0.7689,-0.5561,0.2731,0.987
0.005000,-0.7696,-0.5543,0.2812,0.989
0.005000,-0.7703,-0.5526,0.2846,0.990
0.005000,-0.7689,-0.5460,0.2907,0.987
0.005000,-0.7693,-0.5414,0.2937,0.986
0.006000,-0.7718,-0.5394,0.2949,0.987
0.006000,-0.7757,-0.5353,0.2973,0.988
0.006000,-0.7784,-0.5304,0.2983,0.988
0.010000,-0.7794,-0.5267,0.2983,0.987
0.010000,-0.7789,-0.5216,0.2959,0.983
0.012000,-0.7818,-0.5189,0.2942,0.983
0.014000,-0.7833,-0.5189,0.2951,0.985
0.018000,-0.7842,-0.5201,0.2978,0.987
0.018000,-0.7838,-0.5221,0.2993,0.988
0.020000,-0.7840,-0.5248,0.2990,0.990
0.022000,-0.7803,-0.5309,0.2973,0.990
0.024000,-0.7786,-0.5348,0.2954,0.990
0.027000,-0.7794,-0.5385,0.2951,0.992
0.028000,-0.7798,-0.5394,0.2956,0.993
0.030000,-0.7818,-0.5380,0.2939,0.993
0.032000,-0.7845,-0.5368,0.2932,0.995
0.034000,-0.7894,-0.5343,0.2929,0.997
0.036000,-0.7908,-0.5333,0.2900,0.997
0.038000,-0.7923,-0.5336,0.2871,0.997
0.040000,-0.7940,-0.5375,0.2819,0.999
0.042000,-0.7943,-0.5407,0.2761,1.000
0.044000,-0.7921,-0.5407,0.2761,0.998
0.046000,-0.7906,-0.5399,0.2739,0.996
0.048000,-0.7886,-0.5399,0.2705,0.993
0.051000,-0.7884,-0.5399,0.2690,0.993
0.053000,-0.7930,-0.5421,0.2658,0.997
0.054000,-0.7940,-0.5431,0.2648,0.998
0.056000,-0.7938,-0.5431,0.2629,0.997
0.058000,-0.7904,-0.5419,0.2614,0.993
0.060000,-0.7820,-0.5419,0.2592,0.986
0.062000,-0.7803,-0.5426,0.2575,0.985
0.064000,-0.7752,-0.5431,0.2541,0.980
0.066000,-0.7733,-0.5492,0.2507,0.981
0.068000,-0.7713,-0.5536,0.2512,0.982
0.070000,-0.7706,-0.5575,0.2521,0.984
0.072000,-0.7703,-0.5570,0.2514,0.983
0.074000,-0.7689,-0.5556,0.2514,0.981
0.076000,-0.7737,-0.5529,0.2516,0.984
0.078000,-0.7764,-0.5509,0.2526,0.985
0.080000,-0.7786,-0.5504,0.2521,0.986
0.082000,-0.7745,-0.5541,0.2570,0.986
0.085000,-0.7693,-0.5556,0.2629,0.985
0.087000,-0.7635,-0.5600,0.2680,0.984
0.088000,-0.7635,-0.5609,0.2687,0.985
0.090000,-0.7586,-0.5592,0.2717,0.981
0.092000,-0.7547,-0.5600,0.2734,0.979
0.094000,-0.7422,-0.5563,0.2746,0.967
0.096000,-0.7320,-0.5355,0.2768,0.948
0.098000,-0.7053,-0.4872,0.2800,0.902
0.101000,-0.6252,-0.3381,0.2802,0.764
0.103000,-0.6254,-0.2832,0.2832,0.743
0.104000,-0.6374,-0.2771,0.2849,0.751
0.106000,-0.6653,-0.2885,0.2827,0.778
0.108000,-0.6931,-0.3171,0.2778,0.811
0.110000,-0.7078,-0.3332,0.2731,0.829
0.112000,-0.7378,-0.3660,0.2641,0.865
0.114000,-0.7728,-0.3965,0.2568,0.906
0.117000,-0.7916,-0.4097,0.2556,0.927
0.119000,-0.8297,-0.4332,0.2585,0.971
0.120000,-0.8627,-0.4530,0.2639,1.009
0.123000,-0.8790,-0.4598,0.2690,1.028
0.125000,-0.9147,-0.4718,0.2700,1.064
0.126000,-0.9365,-0.4945,0.2812,1.096
0.128000,-0.9382,-0.5113,0.2839,1.106
0.130000,-0.9333,-0.5534,0.2797,1.120
0.132000,-0.9328,-0.5922,0.2788,1.140
0.135000,-0.9343,-0.6105,0.2810,1.151
