time,gFx,gFy,gFz,TgF
0.004000,0.5912,0.0237,0.7840,0.982
0.005000,0.5895,0.0144,0.8018,0.995
0.006000,0.5895,0.0125,0.8065,0.999
0.006000,0.5890,0.0127,0.8123,1.004
0.006000,0.5849,0.0127,0.8231,1.010
0.007000,0.5822,0.0137,0.8334,1.017
0.007000,0.5820,0.0166,0.8424,1.024
0.008000,0.5812,0.0181,0.8475,1.028
0.008000,0.5827,0.0205,0.8610,1.040
0.010000,0.5815,0.0227,0.8658,1.043
0.014000,0.5802,0.0213,0.8641,1.041
0.015000,0.5817,0.0169,0.8600,1.038
0.015000,0.5866,0.0134,0.8505,1.033
0.017000,0.6140,-0.0107,0.7698,0.985
0.021000,0.6430,-0.0374,0.6433,0.910
0.022000,0.6352,-0.0349,0.6418,0.904
0.025000,0.5947,-0.0037,0.7183,0.933
0.025000,0.5851,0.0083,0.7488,0.950
0.027000,0.5798,0.0191,0.7742,0.967
0.029000,0.5754,0.0371,0.8114,0.995
0.030000,0.5778,0.0454,0.8387,1.020
0.033000,0.5822,0.0581,0.8461,1.029
0.034000,0.5834,0.0596,0.8473,1.030
0.037000,0.5849,0.0594,0.8468,1.031
0.039000,0.5861,0.0537,0.8429,1.028
0.041000,0.5893,0.0435,0.8380,1.025
0.044000,0.5932,0.0325,0.8336,1.024
0.044000,0.5949,0.0259,0.8297,1.021
0.046000,0.5969,0.0149,0.8319,1.024
0.048000,0.6022,0.0107,0.8360,1.030
0.051000,0.6057,0.0017,0.8363,1.033
0.054000,0.6130,-0.0081,0.8431,1.042
0.054000,0.6118,-0.0081,0.8431,1.042
0.057000,0.6110,-0.0090,0.8417,1.040
0.059000,0.6059,-0.0068,0.8400,1.036
0.061000,0.6005,-0.0020,0.8353,1.029
0.064000,0.5939,0.0049,0.8309,1.021
0.065000,0.5917,0.0076,0.8272,1.017
0.067000,0.5866,0.0149,0.8187,1.007
0.070000,0.5834,0.0183,0.8158,1.003
0.072000,0.5810,0.0235,0.8055,0.993
0.074000,0.5785,0.0271,0.7940,0.983
0.075000,0.5778,0.0276,0.7891,0.978
0.077000,0.5763,0.0283,0.7779,0.969
0.079000,0.5741,0.0283,0.7735,0.964
0.081000,0.5705,0.0259,0.7649,0.955
0.085000,0.5644,0.0193,0.7518,0.940
0.086000,0.5639,0.0173,0.7513,0.939
0.088000,0.5631,0.0142,0.7503,0.938
0.089000,0.5609,0.0098,0.7491,0.936
0.091000,0.5622,0.0083,0.7496,0.937
0.094000,0.5653,0.0034,0.7535,0.942
0.094000,0.5651,0.0034,0.7552,0.943
0.097000,0.5629,0.0034,0.7608,0.946
0.099000,0.5624,0.0037,0.7637,0.948
0.101000,0.5607,0.0037,0.7676,0.951
0.104000,0.5558,0.0066,0.7713,0.951
0.106000,0.5539,0.0064,0.7740,0.952
0.107000,0.5500,0.0051,0.7781,0.953
0.109000,0.5480,0.0044,0.7796,0.953
0.111000,0.5468,0.0024,0.7803,0.953
0.114000,0.5414,-0.0024,0.7833,0.952
0.115000,0.5382,-0.0076,0.7855,0.952
0.117000,0.5302,-0.0171,0.7918,0.953
0.120000,0.5179,-0.0242,0.7960,0.950
0.121000,0.5128,-0.0261,0.7984,0.949
0.126000,0.5008,-0.0264,0.8092,0.952
0.126000,0.4999,-0.0239,0.8133,0.955
0.127000,0.4999,-0.0225,0.8177,0.959
0.130000,0.5060,-0.0186,0.8272,0.970
0.131000,0.5165,-0.0137,0.8336,0.981
0.135000,0.5275,-0.0095,0.8402,0.992
0.135000,0.5336,-0.0073,0.8417,0.997
0.138000,0.5412,-0.0024,0.8421,1.001
0.139000,0.5426,-0.0002,0.8421,1.002
0.142000,0.5434,0.0034,0.8392,1.000
0.145000,0.5416,0.0081,0.8312,0.992
0.146000,0.5409,0.0081,0.8282,0.989
0.147000,0.5392,0.0090,0.8228,0.984
0.149000,0.5399,0.0100,0.8111,0.974
0.151000,0.5397,0.0100,0.8065,0.970
0.159000,0.5419,0.0103,0.7908,0.959
0.159000,0.5424,0.0112,0.7845,0.954
0.159000,0.5419,0.0112,0.7789,0.949
0.160000,0.5382,0.0103,0.7696,0.939
0.161000,0.5321,0.0086,0.7610,0.929
0.164000,0.5233,0.0090,0.7554,0.919
0.165000,0.5182,0.0105,0.7537,0.915
0.167000,0.5091,0.0105,0.7488,0.906
