time,ax,ay,az,aT
1.9680,0.3328,1.4818,-0.4787,1.592
1.9750,0.2822,1.4377,-0.4598,1.536
1.9850,0.3479,1.5216,-0.4353,1.620
1.9960,0.5152,1.6764,-0.3618,1.791
2.0060,0.8025,1.9540,-0.5220,2.176
2.0200,1.0164,2.1853,-0.5699,2.477
2.0260,1.4340,2.3796,-0.5960,2.841
2.0380,1.9925,2.4210,-0.3094,3.151
2.0460,2.6545,2.5814,0.2463,3.711
2.0580,3.5987,2.7590,1.0441,4.653
2.0680,4.4496,3.0779,2.1796,5.833
2.0760,5.1759,3.3653,3.0407,6.882
2.0870,5.7370,3.7803,3.6855,7.797
2.0960,6.3530,4.2790,4.1776,8.725
2.1050,6.9409,4.8496,4.4217,9.552
2.1210,7.4748,5.3473,4.4582,10.215
2.1250,7.9231,5.9139,4.5578,10.887
2.1360,8.4344,6.5373,5.2019,11.872
2.1470,8.9349,6.9123,5.9716,12.778
2.1560,9.0579,7.2029,6.4451,13.246
2.1650,8.9502,7.3631,6.5660,13.320
2.1770,8.7489,7.3842,6.5715,13.201
2.1880,8.4442,7.1661,6.5114,12.847
2.2070,8.0645,6.8951,6.3069,12.343
2.2100,7.6281,6.6790,6.3686,11.973
2.2200,7.1682,6.3777,6.5036,11.591
2.2260,6.6237,6.0383,6.4751,11.057
2.2350,6.3702,5.3984,6.2724,10.443
2.2460,6.6010,4.8900,6.1410,10.257
2.2550,7.2143,4.0323,6.3532,10.424
2.2680,7.8828,3.0099,6.7218,10.788
2.2750,8.6349,2.0030,6.9197,11.245
2.2850,9.1250,0.9993,6.9152,11.493
2.2950,9.4070,0.0504,6.6960,11.547
2.3060,9.4495,-0.7578,6.3275,11.398
2.3220,9.7172,-1.4566,5.9298,11.476
2.3350,9.5449,-2.0435,5.6640,11.285
2.3380,8.8746,-2.3816,5.3650,10.640
2.3450,8.0318,-2.5643,4.9209,9.762
2.3560,7.1489,-2.6446,4.5281,8.866
2.3650,6.3735,-2.9034,4.4086,8.276
2.3760,5.7590,-3.1744,4.3757,7.899
2.3850,5.1587,-3.5084,4.3074,7.581
2.3940,4.2409,-3.7718,4.1027,7.003
2.4050,3.2725,-3.8875,3.6746,6.271
2.4150,2.3733,-4.0689,3.1856,5.687
2.4240,1.6463,-4.2976,2.6831,5.327
2.4350,0.9763,-4.5216,2.2905,5.162
2.4450,0.5598,-4.8721,1.9134,5.264
2.4560,0.1838,-5.2251,1.6382,5.479
2.4660,-0.0865,-5.6003,1.4325,5.781
2.4760,-0.3109,-5.9746,1.2845,6.119
2.4850,-0.4491,-6.4621,1.1599,6.581
2.4950,-0.4757,-7.0010,0.8727,7.071
2.5050,-0.5471,-7.3992,0.6264,7.446
2.5160,-0.6571,-7.8848,0.1765,7.914
2.5250,-0.8944,-8.2376,-0.2124,8.289
2.5350,-1.0895,-8.5024,-0.5897,8.592
2.5450,-1.2887,-8.7671,-0.7989,8.897
2.5560,-1.4844,-9.0289,-0.9633,9.201
2.5660,-1.6718,-9.1630,-0.9241,9.360
2.5750,-1.8586,-9.2917,-0.8633,9.515
2.5860,-2.0871,-9.3032,-0.8561,9.573
2.5940,-2.2515,-9.3589,-0.9011,9.668
2.6080,-2.3846,-9.5229,-0.9554,9.863
2.6260,-2.3428,-9.7351,-1.0647,10.069
2.6290,-2.3987,-9.9739,-1.2757,10.337
2.6400,-2.4936,-10.1710,-1.3648,10.561
2.6560,-2.6498,-10.1101,-1.4747,10.555
2.6590,-2.8957,-9.9977,-1.6156,10.533
2.6750,-3.2174,-9.8620,-1.7487,10.520
2.6800,-3.4485,-9.6893,-1.8714,10.454
2.7050,-3.6186,-9.4935,-1.9116,10.338
2.7070,-3.8530,-9.3658,-2.0466,10.332
2.7090,-4.1193,-9.2498,-1.9533,10.312
2.7230,-4.3942,-9.0412,-1.8990,10.230
2.7260,-4.6978,-8.7788,-1.8572,10.128
2.7390,-4.8735,-8.6875,-1.7373,10.111
2.7560,-4.9328,-8.8366,-1.5408,10.237
2.7590,-4.8728,-9.0359,-1.3139,10.350
2.7700,-4.7993,-9.1114,-1.0166,10.348
2.7750,-4.4151,-9.0379,-0.6196,10.078
2.7870,-3.9098,-8.9988,-0.3086,9.816
2.7950,-3.1810,-8.8707,-0.2201,9.426
2.8060,-2.4059,-8.6662,-0.1901,8.996
2.8190,-1.7970,-8.5375,-0.1834,8.727
2.8250,-1.5091,-8.4281,-0.2124,8.565
2.8380,-1.4354,-8.4309,-0.2948,8.557
2.8450,-1.3703,-8.5608,-0.3791,8.678
2.8580,-1.2329,-8.6645,-0.1650,8.753
2.8680,-0.8519,-8.7487,0.1084,8.791
2.8780,-0.3186,-8.9272,0.6884,8.959
2.8940,0.3912,-9.0706,1.2082,9.159
2.9070,1.3462,-9.1758,1.7416,9.436
2.9100,2.3813,-9.2069,2.2046,9.762
2.9180,3.5856,-9.2030,2.5821,10.209
2.9290,4.9248,-8.9339,2.7796,10.573
2.9350,6.0289,-8.4234,2.9342,10.766
2.9450,6.7984,-7.4797,3.0639,10.562
2.9550,7.2607,-6.3626,3.2096,10.174
2.9670,7.1736,-5.0873,3.3768,9.420
2.9750,6.5721,-3.7679,3.6634,8.415
2.9900,5.5680,-2.3180,3.8567,7.159
2.9950,4.5103,-1.0302,4.1089,6.188
3.0060,3.2752,0.1208,4.1969,5.325
3.0190,2.2168,1.1523,4.3065,4.979
3.0260,1.3581,1.9878,4.3085,4.935
3.0430,0.7895,2.6782,4.1356,4.990
3.0460,0.5195,3.2161,4.0868,5.226
3.0620,0.5869,3.5338,3.9303,5.318
3.0690,0.8091,3.6802,3.6912,5.275
3.0750,1.0565,3.7461,3.2160,5.049
3.0850,1.3633,3.7693,2.7007,4.833
3.0960,1.6601,3.6678,2.1110,4.546
3.1080,1.9403,3.5861,1.6725,4.407
3.1180,2.1925,3.3806,1.1936,4.202
3.1250,2.3931,3.2262,1.0538,4.153
3.1360,2.6857,3.0614,0.9367,4.179
3.1450,3.1822,2.6923,0.8411,4.252
3.1550,3.5208,2.4180,0.8403,4.353
3.1680,3.8371,2.3488,0.8944,4.587
3.1740,3.8991,2.4864,0.8915,4.710
3.1880,3.8086,2.6875,0.8972,4.747
3.1980,3.4047,3.0354,0.8725,4.644
3.2070,3.0898,3.3257,0.7553,4.602
3.2170,3.0654,3.5030,0.6590,4.701
3.2250,3.2609,3.6512,0.8210,4.964
3.2350,3.7924,3.7814,1.0479,5.457
3.2450,4.4671,3.8963,1.3628,6.082
3.2560,5.1922,3.9499,1.8525,6.782
3.2680,5.6874,4.1015,2.1964,7.348
3.2750,6.0413,4.3344,2.4779,7.837
3.2870,6.3765,4.5465,2.6820,8.278
3.2950,6.4236,4.8281,2.8228,8.517
3.3060,6.3875,5.2029,3.1785,8.830
3.3230,6.2906,5.5501,3.5799,9.121
3.3260,6.3298,5.7507,4.0122,9.446
3.3370,6.6084,5.7702,4.3169,9.778
3.3480,6.9292,5.7853,4.6236,10.142
3.3550,7.4094,5.5643,4.8475,10.458
3.3660,7.9437,5.2439,4.9428,10.725
3.3750,8.2102,4.8456,5.0351,10.781
3.3850,8.2600,4.5112,5.0581,10.685
