time,ax,ay,az,aT
2.3000,7.3244,-4.7370,5.6157,10.374
2.3180,7.0377,-4.8080,5.1844,9.976
2.3330,6.6911,-4.6507,4.9070,9.512
2.3350,6.7380,-4.5947,5.2151,9.680
2.4000,6.3033,-3.9817,5.7600,9.421
2.4020,5.5658,-3.3157,5.8261,8.713
2.4030,4.2157,-2.5033,5.4874,7.359
2.4080,2.7545,-1.5789,4.9602,5.889
2.4090,1.7853,-0.7603,4.4563,4.860
2.4100,1.3712,0.0906,4.0184,4.247
2.4110,1.2509,0.9412,3.4991,3.833
2.4160,1.2784,1.8276,3.0520,3.780
2.4210,1.3135,2.4251,2.5213,3.737
2.4280,1.2973,2.8523,1.7105,3.570
2.4350,1.0324,3.0820,0.8660,3.364
2.4440,1.1456,2.9970,0.4290,3.237
2.4530,1.8967,2.5210,0.5332,3.200
2.4650,2.9166,1.6915,1.0182,3.522
2.4740,3.2979,0.8903,2.0101,3.963
2.4880,3.3074,0.6676,3.1955,4.647
2.4990,3.5177,0.6422,4.4762,5.729
2.5080,4.6064,0.8207,5.6860,7.364
2.5220,6.2689,1.0239,6.2618,8.919
2.5300,7.0633,1.2759,6.4721,9.665
2.5380,6.9830,1.6695,6.3215,9.566
2.5550,6.4724,1.8511,5.8874,8.943
2.5590,5.7714,2.0005,5.2281,8.040
2.5680,4.8142,2.1487,4.2441,6.768
2.5760,3.6309,2.3697,3.3295,5.467
2.5870,3.4408,2.9434,2.5833,5.213
2.6010,1.7837,2.2958,0.9032,3.044
2.6070,1.7638,3.4865,1.7776,4.293
2.6160,1.9337,3.4535,1.7002,4.308
2.6290,1.8258,3.2871,0.6507,3.816
2.6360,1.3694,3.7270,0.0601,3.971
2.6490,0.7234,4.0454,-0.6045,4.154
2.6530,0.3417,4.2864,-1.1234,4.444
2.6690,0.3517,4.4130,-1.5412,4.688
2.6820,0.6545,4.4114,-1.7395,4.787
2.6970,1.3679,4.3003,-1.4524,4.741
2.7100,1.7682,4.1158,-1.0781,4.607
2.7160,2.0608,3.9039,-0.7815,4.483
2.7280,2.1343,3.5923,-0.7259,4.241
2.7330,2.1758,3.3725,-0.5472,4.051
2.7400,2.5694,3.1061,-0.3164,4.044
2.7510,2.7074,2.8219,-0.1963,3.916
2.7570,2.4341,2.5905,-0.1462,3.558
