time,ax,ay,az,aT
29.6360,-6.5381,3.6165,-0.1923,7.474
29.6360,-6.6241,3.4738,-0.4990,7.496
29.6370,-6.4610,3.3404,-0.5199,7.292
29.6380,-6.3459,3.2242,-0.3994,7.129
29.6400,-6.1930,3.0775,-0.3396,6.924
29.6490,-6.0989,2.8717,-0.1877,6.744
29.6580,-5.9277,2.5472,0.0087,6.452
29.6680,-5.6486,2.1151,0.1486,6.033
29.6790,-5.3005,1.7328,0.3755,5.589
29.6880,-4.8731,1.3119,0.4830,5.070
29.7010,-4.5247,1.0335,0.7541,4.702
29.7590,-4.1931,0.9058,1.0586,4.418
29.7610,-3.8177,0.7053,1.4400,4.141
29.7620,-3.5017,0.5778,1.8186,3.988
29.7630,-3.1195,0.4790,2.1681,3.829
29.7640,-2.7798,0.2443,2.2863,3.607
29.7640,-2.4128,0.1442,2.6870,3.614
29.7690,-2.0763,-0.1101,2.9412,3.602
29.7790,-1.7795,-0.4648,3.1489,3.647
29.7880,-1.4608,-0.7948,3.3607,3.750
29.7980,-1.1575,-1.0714,3.4396,3.784
29.8090,-0.8532,-1.4365,3.3332,3.729
29.8200,-0.4120,-1.8312,3.1181,3.639
29.8350,0.0311,-2.1463,2.7675,3.502
29.9180,0.2745,-2.5650,2.2197,3.403
29.9190,0.5306,-2.8873,1.7549,3.420
29.9200,0.8494,-3.1507,1.2743,3.503
29.9210,1.2354,-3.5004,1.0443,3.856
29.9220,1.7262,-3.6928,0.7974,4.154
29.9220,2.1679,-3.8838,0.7579,4.512
29.9230,2.4919,-4.0033,0.6492,4.760
29.9240,2.8821,-4.1494,0.7081,5.101
29.9240,3.1477,-4.3407,0.7240,5.410
29.9290,3.5492,-4.3265,0.9255,5.672
29.9380,3.6852,-4.4707,0.9567,5.872
29.9480,3.7771,-4.5831,0.9545,6.015
29.9580,3.7195,-4.9356,1.1438,6.285
29.9690,3.8043,-5.2103,1.2327,6.568
29.9830,3.8721,-5.4513,1.2975,6.811
30.0670,3.9151,-5.6570,1.2170,6.986
30.0690,3.8435,-5.9353,0.9573,7.136
