time,ax,ay,az,aT
9.6060,-6.7044,3.3658,2.7799,8.000
9.6110,-6.3634,2.7264,3.5793,7.793
9.6220,-5.8673,2.1454,3.9873,7.411
9.6340,-5.5494,1.6463,4.0042,7.038
9.6420,-5.4758,1.2672,3.6935,6.725
9.6520,-5.3030,0.9332,3.4210,6.379
9.6640,-5.0830,0.6749,2.9588,5.920
9.6720,-4.8377,0.5169,2.5759,5.505
9.6830,-4.6203,0.3769,2.2147,5.138
9.6920,-4.4592,0.0224,1.8012,4.809
9.7030,-4.3707,-0.3117,1.4506,4.616
9.7120,-3.9783,-0.7100,1.3482,4.260
9.7240,-3.5723,-1.1118,1.1356,3.910
9.7520,-3.0709,-1.4517,1.0671,3.560
9.7540,-2.7842,-1.8381,1.0114,3.486
9.7550,-2.4006,-2.2555,0.7837,3.386
9.7620,-2.1545,-2.6377,0.3919,3.428
9.7720,-1.8822,-2.9967,-0.0285,3.539
9.7820,-1.5018,-3.2473,-0.4974,3.612
9.7910,-1.0323,-3.4566,-0.4941,3.641
9.8040,-0.7189,-3.5773,-0.3624,3.667
9.8120,-0.3995,-3.6668,-0.4174,3.712
9.8220,-0.2368,-3.8235,-0.6269,3.882
9.8320,0.0350,-3.9522,-0.7758,4.028
9.8420,0.3838,-4.0946,-0.7953,4.189
9.8560,0.6796,-4.2449,-0.8450,4.381
9.8610,1.0154,-4.5208,-0.8432,4.710
9.8840,1.4003,-4.7696,-0.8461,5.042
9.8860,1.7197,-4.9105,-0.8473,5.271
9.8920,1.9263,-5.0340,-1.0248,5.487
9.9030,1.9872,-5.2222,-1.2013,5.715
9.9110,2.0661,-5.3798,-1.5426,5.966
9.9220,2.1063,-5.5679,-1.7691,6.210
9.9340,2.1325,-5.7174,-1.9621,6.410
9.9420,2.3273,-5.9068,-2.0115,6.660
9.9540,2.4810,-6.0737,-2.0261,6.867
9.9620,2.6125,-6.2455,-1.8848,7.027
9.9720,2.8095,-6.5026,-1.8451,7.320
9.9820,3.0532,-6.6883,-1.6847,7.543
9.9920,3.1622,-6.7343,-1.6258,7.615
10.0140,3.1328,-6.7095,-1.7301,7.604
10.0170,3.1231,-6.7143,-1.9245,7.651
10.0250,2.9998,-6.8259,-2.3402,7.815
10.0350,2.7775,-6.9167,-2.7745,7.953
10.0410,2.5046,-7.2601,-3.1531,8.302
10.0530,2.5649,-7.4393,-3.4213,8.581
10.0620,2.8626,-7.4366,-3.7793,8.819
10.0720,3.1290,-7.5382,-3.9617,9.073
10.0840,3.2945,-7.8303,-4.0785,9.423
10.0920,3.3358,-8.0376,-4.1427,9.638
10.1040,3.4937,-8.2406,-4.2361,9.902
10.1120,3.6281,-8.2508,-4.2334,9.958
10.1230,3.6709,-8.2554,-4.0167,9.887
10.1390,3.6693,-8.0315,-3.7265,9.584
10.1450,3.5840,-7.4562,-3.4027,8.945
10.1660,3.5184,-6.7783,-2.8887,8.165
10.1690,3.3714,-6.2975,-2.3987,7.535
10.1720,3.1646,-5.9208,-2.0389,7.016
10.1840,2.8690,-5.6943,-1.5023,6.551
10.1920,2.5177,-5.6841,-0.9251,6.285
10.2040,2.1470,-5.7165,-0.4663,6.124
10.2120,1.7913,-5.9500,-0.1205,6.215
10.2220,1.5211,-6.1387,0.0348,6.324
10.2320,1.1493,-6.2564,0.2709,6.367
10.2420,0.8665,-6.1831,0.5101,6.264
10.2550,0.5101,-6.0567,0.7115,6.120
10.2620,0.1589,-5.5938,0.7829,5.651
10.2740,-0.2434,-5.0505,0.8718,5.131
10.2820,-0.5411,-4.4375,0.9854,4.578
10.3030,-0.8569,-3.6374,1.1414,3.907
10.3070,-1.1036,-2.9456,1.3233,3.413
10.3140,-1.3303,-2.2217,1.3316,2.912
10.3210,-1.4040,-1.8226,1.2927,2.639
10.3330,-1.5587,-1.3872,1.1049,2.361
